X,Y,FID,StopName,LineAbbr,Lon,Lat
-75.393998,39.918478,1,Orange Street,101,-75.393998,39.918478
-75.392145,39.918209,2,Veterans Square,101,-75.392145,39.918209
-75.391165,39.918066,3,Olive Street,101,-75.391165,39.918066
-75.389584,39.917843,4,Jackson Street,101,-75.389584,39.917843
-75.387766,39.917592,5,Monroe Street,101,-75.387766,39.917592
-75.385772,39.917333,6,Edgmont Street,101,-75.385772,39.917333
-75.382998,39.91693,7,Manchester Avenue,101,-75.382998,39.91693
-75.380614,39.916626,8,Providence Road,101,-75.380614,39.916626
-75.376861,39.916071,9,Beatty Road,101,-75.376861,39.916071
-75.369922,39.914872,10,Pine Ridge,101,-75.369922,39.914872
-75.357953,39.915276,12,Paper Mill Road,101,-75.357953,39.915276
-75.348992,39.918011,13,Springfield Mall,101,-75.348992,39.918011
-75.345341,39.921123,14,Thomson Avenue,101,-75.345341,39.921123
-75.339624,39.924644,15,Woodland Avenue,101,-75.339624,39.924644
-75.337154,39.926267,16,Leamy Avenue,101,-75.337154,39.926267
-75.333515,39.928665,17,Saxer Avenue,101,-75.333515,39.928665
-75.329458,39.934409,18,Springfield Road,101,-75.329458,39.934409
-75.325872,39.940734,19,Scenic Road,101,-75.325872,39.940734
-75.321592,39.944559,20,Drexeline,101,-75.321592,39.944559
-75.315955,39.947106,21,Drexelbrook,101,-75.315955,39.947106
-75.312636,39.947826,22,Anderson Avenue,101,-75.312636,39.947826
-75.306033,39.949203,23,Aronimink,101,-75.306033,39.949203
-75.29987,39.94859,24,School Lane,101,-75.29987,39.94859
-75.297688,39.94741,25,Huey Avenue,101,-75.297688,39.94741
-75.292575,39.947012,26,Drexel Hill Junction,"101, 102",-75.292575,39.947012
-75.289148,39.948668,27,Irvington Road,"101, 102",-75.289148,39.948668
-75.286949,39.949709,28,Drexel Park,"101, 102",-75.286949,39.949709
-75.282328,39.951614,29,Lansdowne Avenue,"101, 102",-75.282328,39.951614
-75.279078,39.952976,30,Congress Avenue,"101, 102",-75.279078,39.952976
-75.274066,39.955326,31,Beverly Boulevard,"101, 102",-75.274066,39.955326
-75.272718,39.955967,32,Hilltop Road,"101, 102",-75.272718,39.955967
-75.268888,39.95772,33,Avon Road,"101, 102",-75.268888,39.95772
-75.266263,39.958921,34,Walnut Street,"101, 102",-75.266263,39.958921
-75.263613,39.960864,35,Fairfield Avenue,"101, 102",-75.263613,39.960864
-75.259689,39.962161,36,69th Street Transportation Center,"101, 102",-75.259689,39.962161
-75.165345,39.952672,37,15th Street,"10, 11, 13, 34, 36",-75.165345,39.952672
-75.183169,39.954894,38,30th Street,"10, 11, 13, 34, 36",-75.183169,39.954894
-75.197306,39.951048,39,37th Street,"11, 13, 34, 36",-75.197306,39.951048
-75.203333,39.949595,40,40th Street Portal,"11, 13, 34, 36",-75.203333,39.949595
-75.176571,39.954051,41,22nd Street,"10, 11, 13, 34, 36",-75.176571,39.954051
-75.1945046809999,39.953847876,42,36th Street," 11, 13, 34, 36",-75.194505,39.953848
-75.1940664889999,39.9555912270001,43,36th Street Portal, 10,-75.194066,39.955591
-75.1897066139999,39.9547868800001,44,33rd Street," 10, 11, 13, 34, 36",-75.189707,39.954787
-75.1716472299999,39.9534231980001,45,19th Street," 10, 11, 13, 34, 36",-75.171647,39.953423
-75.1625589999999,39.9525320000001,46,13th Street," 10, 11, 13, 34, 36",-75.162559,39.952532
-75.2959006857058,39.944033584938,47,Garrettford,102,-75.295901,39.944034
-75.2965570639522,39.9421846526039,48,Drexel Manor,102,-75.296557,39.942185
-75.2964817723503,39.9401551499056,49,Marshall Road,102,-75.296482,39.940155
-75.2951931973741,39.935101185498,50,Creek Road,102,-75.295193,39.935101
-75.2928808716212,39.9312675037452,51,Baltimore Pike,102,-75.292881,39.931268
-75.2919521182734,39.9289096084776,52,Penn Street, 102,-75.291952,39.92891
-75.2926221988584,39.9273039955896,53,Springfield Road,102,-75.292622,39.927304
-75.2900875953735,39.925724444973,54,Clifton-Aldan,102,-75.290088,39.925724
-75.2886304418994,39.9216987947247,55,Providence Road,102,-75.28863,39.921699
-75.286986176912,39.9195628052253,56,Magnolia Avenue,102,-75.286986,39.919563
-75.2854906091106,39.9175215626898,57,North Street,102,-75.285491,39.917522
-75.2841705905611,39.9146347426256,58,Bartram Avenue,102,-75.284171,39.914635
-75.2818994624748,39.9116862659302,59,Andrews Avenue,102,-75.281899,39.911686
-75.2809044838021,39.9103049189442,60,MacDade Boulevard,102,-75.280904,39.910305
-75.278314,39.906673,61,Sharon Hill,102,-75.278314,39.906673
